supplier_id,supplier_category,disruption_type,historical_unit_price,current_unit_price,historical_reliability_pct,current_reliability_pct,historical_quality_score,current_quality_score,historical_delivery_days,current_delivery_days,max_capacity,min_order_quantity,required_quantity,on_time_delivery_pct,defect_rate_pct,price_volatility_pct,capacity_utilization_pct,disruption_severity_pct,predicted_actual_delivery_days,predicted_final_unit_price,predicted_quality_risk_pct,predicted_overall_risk_score,optimal_allocation_pct
SUP-000001,National,Reliability Drop,120.78,132.7,84.41,81.93,99.75,95.32,4.83,3.22,21074,1121,61393,81.87,2.2,15.1,74.01,23.4,4.82,136.88,6.54,28.87,65.86
SUP-000002,Regional,None,84.33,80.66,89.42,94.24,88.39,80.88,2.91,2.85,5030,1081,18864,86.1,15.04,8.19,95.76,0.0,3.99,83.55,24.61,20.0,90.23
SUP-000003,International,Capacity Reduction,118.69,117.84,75.45,73.37,86.31,82.99,13.26,12.72,22873,2387,49371,78.92,16.79,11.5,82.78,24.74,13.61,119.2,21.03,36.33,56.84
SUP-000004,National,None,108.11,113.89,95.57,92.4,88.22,84.38,7.95,7.85,17454,3057,3619,87.5,13.05,10.31,93.64,0.0,10.83,116.52,26.92,20.55,82.68
SUP-000005,Local,Price Increase,123.42,113.41,85.18,79.0,83.43,80.68,4.88,6.26,5208,536,3568,81.12,18.04,10.86,64.23,51.02,6.05,171.52,25.88,34.2,64.45
SUP-000006,International,None,120.63,122.42,86.21,86.44,93.68,99.99,6.6,7.33,3340,826,49646,81.18,3.01,2.79,89.76,0.0,9.57,123.66,1.74,26.13,78.76
SUP-000007,National,Price Increase,108.09,100.15,99.5,97.77,87.29,80.77,10.17,9.11,4668,1582,72709,99.84,17.55,8.52,94.6,44.61,7.61,151.26,27.7,33.65,71.37
SUP-000008,National,None,120.34,126.17,84.51,87.31,88.11,97.16,5.68,4.15,2706,253,13718,96.15,8.58,7.95,87.42,0.0,4.2,128.48,8.23,19.02,76.82
SUP-000009,Local,Reliability Drop,101.99,119.67,89.25,79.41,99.52,100.0,2.77,2.61,2470,137,20814,71.85,0.79,19.39,38.28,26.13,3.08,117.95,0.0,28.88,68.98
SUP-000010,Regional,None,109.14,117.72,99.5,96.32,92.88,93.65,4.27,3.17,6824,2227,97345,93.31,5.22,9.74,91.31,0.0,2.69,117.62,5.41,16.28,83.25
SUP-000011,Regional,Delivery Delay,106.15,116.83,87.83,95.48,98.19,93.07,7.92,8.54,26344,4389,98042,91.57,9.04,19.65,39.16,34.84,15.86,117.49,8.31,32.08,74.44
SUP-000012,International,Quality Issue,107.5,112.22,76.13,76.08,86.03,83.56,11.81,11.29,17197,325,25921,80.55,13.36,4.91,75.09,35.67,12.36,111.96,37.91,33.66,67.63
SUP-000013,National,None,103.4,117.78,91.41,97.34,88.96,83.34,10.96,11.7,2384,625,52938,95.87,17.79,26.96,46.53,0.0,11.73,118.52,25.06,29.74,80.38
SUP-000014,National,None,116.45,97.59,99.5,99.8,99.76,98.15,6.05,9.95,16995,2652,50682,92.8,5.38,35.29,89.11,0.0,11.39,102.88,3.05,26.31,75.48
SUP-000015,Regional,Price Increase,92.57,95.02,85.69,83.68,97.58,93.26,6.67,6.09,11048,1215,51103,80.22,10.39,3.08,43.03,25.95,7.74,119.66,13.26,29.87,75.42
SUP-000016,Local,Quality Issue,97.18,104.74,92.84,99.8,79.22,74.74,3.19,4.32,21436,1750,65704,97.29,21.23,8.41,79.66,26.45,5.61,101.97,47.84,27.73,84.93
SUP-000017,National,Reliability Drop,114.14,111.71,80.41,82.66,89.4,100.0,11.45,14.06,10643,2135,86030,80.37,0.97,6.83,43.5,31.32,14.64,115.3,2.52,37.18,63.98
SUP-000018,Local,None,88.25,92.9,78.62,74.69,89.64,84.62,4.54,2.05,4634,335,58714,75.93,13.77,13.3,64.2,0.0,4.46,95.12,21.38,29.45,66.14
SUP-000019,National,Quality Issue,113.48,108.51,95.14,97.25,80.35,88.29,7.52,4.85,20812,1328,92552,100.0,12.28,12.5,68.94,15.17,5.04,114.25,25.48,22.9,86.06
SUP-000020,National,None,108.46,120.83,91.03,91.22,99.8,100.0,8.83,5.84,24129,4158,42164,97.64,6.29,18.83,82.79,0.0,5.89,127.4,1.97,18.57,79.72
SUP-000021,National,None,103.55,103.65,99.5,96.78,92.77,98.87,9.79,9.63,13470,3170,70281,99.84,4.82,4.87,61.44,0.0,9.13,105.26,7.2,22.03,85.17
SUP-000022,Regional,Price Increase,109.38,107.35,97.23,99.8,77.76,76.61,3.81,6.64,16360,3095,80553,95.89,24.75,4.71,38.95,52.31,6.76,159.79,37.76,36.37,67.29
SUP-000023,International,Delivery Delay,97.01,91.81,76.31,81.98,83.66,83.54,14.73,15.79,14114,562,31231,80.37,14.24,6.55,69.72,43.06,23.89,92.08,22.08,40.21,64.31
SUP-000024,International,None,96.94,97.69,80.73,80.39,89.56,93.72,13.54,14.31,8909,128,38839,80.53,8.68,3.1,84.31,0.0,16.31,95.61,9.8,31.2,74.73
